voie;insee;commune
Rue du Transvaal;02738;Tergnier
Rue du Transvaal;02691;Saint-Quentin
Rue du Transvaal;13204;Marseille 4e Arrondissement
Rue du Transvaal;16102;Cognac
Rue du Transvaal;19275;Ussel
Rue du Transvaal;21231;Dijon
Impasse du Transvaal;29072;Guilvinec
Quartier du Transvaal;29072;Guilvinec
Rue du Transvaal;29072;Guilvinec
Transvaal;29059;Garlan
Rue du Transvaal;33318;Pessac
Le Transvaal;36103;Luçay-le-Mâle
Rue du Transvaal;38053;Bourgoin-Jallieu
Rue du Transvaal;44109;Nantes
Le Transvaal (tillières);49301;Sèvremoine
Rue du Transvaal;52099;Chamouilley
Rue du Transvaal;57606;Saint-Avold
Rue du Transvaal;58264;Saint-Pierre-le-Moûtier
Rue du Transvaal;59646;Wasquehal
Rue du Transvaal;59526;Saint-Amand-les-Eaux
Rue du Transvaal;59514;Rousies
Rue du Transvaal Bat Maroc;59514;Rousies
Rue du Transvaal Bat Transvaal;59514;Rousies
Rue du Transvaal;59491;Raismes
Clos du Transvaal;59449;Orchies
Rue du Transvaal;59136;Le Cateau-Cambrésis
Chemin du Transvaal;59037;Avesnes-les-Aubert
Rue du Transvaal;62893;Wimereux
Le Transvaal;62804;Sus-Saint-Léger
Rue du Transvaal;62313;Estrée-Blanche
Rue du Transvaal;62295;Enquin-lez-Guinegatte
Rue du Transvaal;62270;Divion
Rue du Transvaal;62108;Berck
Rue du Transvaal;62032;Angres
Rue du Transvaal;63430;Thiers
Rue du Transvaal;69388;Lyon 8e Arrondissement
Impasse du Transvaal;71309;Montcenis
Rue du Transvaal;71153;Le Creusot
Rue du Transvaal;71076;Chalon-sur-Saône
Rue du Transvaal;73065;Chambéry
Rue du Transvaal;75120;Paris 20e Arrondissement
Le Transvaal;85220;Saint-Germain-de-Prinçay
Rue du Transvaal;87085;Limoges
Rue du Transvaal;89063;La Celle-Saint-Cyr
Rue du Transvaal;92035;La Garenne-Colombes
Rue du Transvaal;92012;Boulogne-Billancourt
